"treatment"	"species"	"richness"	"year"	"Omega"	"theta"	"feasibility"	"differential"	"overlap"	"coex_rate"	"indirect_effects"
"173"	"control"	"Be_Fr_Dc"	3	2020	0.476845424770502	24.3962866191588	0	0.035	0.36	0.666666666666667	-0.666666666666667
"174"	"control"	"Be_Fr_Sp"	3	2020	0.0952784924233433	21.7462939465762	0	0.005	0.05	0.666666666666667	-0.666666666666667
"175"	"control"	"Be_Fr_Pg"	3	2020	0.155464177227706	16.9676718621312	1	0.091	0.019	0.333333333333333	0.666666666666667
"176"	"control"	"Be_Fr_Ra"	3	2020	0.394388597228988	38.7295141641811	0	0.075	0.015	0.666666666666667	-0.666666666666667
"177"	"control"	"Be_Fr_Pm"	3	2020	0.187735531696727	21.6380474973062	0	0.031	0.16	0.666666666666667	-0.666666666666667
"178"	"control"	"Be_Fr_Ga"	3	2020	0.00292018575235308	4.02392936883314	0	-0.141	0	0.666666666666667	-0.666666666666667
"179"	"control"	"Be_Hl_Lp"	3	2020	0.33051986509624	19.6968496571701	0	0.051	0.17	0.666666666666667	-0.666666666666667
"180"	"control"	"Be_Hl_Pt"	3	2020	0.735350420152202	20.226779273341	1	0.219	0.37	1	0
"181"	"control"	"Be_Hl_Am"	3	2020	0.112209713184801	13.2220001139516	0	0.024	0.03	1	-1
"182"	"control"	"Be_Hl_Cj"	3	2020	0.00762784419359996	6.53398068743302	0	-0.01	0	0.333333333333333	-0.333333333333333
"183"	"control"	"Be_Hl_Cb"	3	2020	0.149415930757405	3.19849674001635	1	0.116	0.005	0.333333333333333	0.666666666666667
"184"	"control"	"Be_Hl_To"	3	2020	0.557045167405165	28.8866440524768	1	0.1	0.203	0.666666666666667	0.333333333333333
"185"	"control"	"Be_Hl_Dc"	3	2020	1.29041311398556	16.057988238222	1	0.204	0.692	1	0
"186"	"control"	"Be_Hl_Sp"	3	2020	0.26618241527781	20.8001262793955	1	0.148	0.089	1	0
"187"	"control"	"Be_Hl_Pg"	3	2020	0.232964775043044	13.6844083818545	1	0.226	0.003	0.666666666666667	0.333333333333333
"188"	"control"	"Be_Hl_Ra"	3	2020	3.87371224354908	64.6182423538556	1	0.415	0.148	0.666666666666667	0.333333333333333
"189"	"control"	"Be_Hl_Pm"	3	2020	0.319239771656421	12.6190029529018	1	0.069	0.147	0.666666666666667	0.333333333333333
"190"	"control"	"Be_Hl_Ga"	3	2020	0.208567673073188	0.613281817186668	1	0.092	0.033	0.666666666666667	0.333333333333333
"191"	"control"	"Be_Lp_Pt"	3	2020	0.610034278462015	40.9761812443479	0	-0.108	0.258	1	-1
"192"	"control"	"Be_Lp_Am"	3	2020	0.280945198517948	13.8288621323026	1	-0.016	0.203	1	0
"193"	"control"	"Be_Lp_Cj"	3	2020	0.0615429304241431	18.2836911929692	0	0.02	0.014	0.666666666666667	-0.666666666666667
"194"	"control"	"Be_Lp_Cb"	3	2020	0.12045996476909	15.300952013865	0	0.102	0	0.333333333333333	-0.333333333333333
"195"	"control"	"Be_Lp_To"	3	2020	0.0280432562188598	18.8415360661213	0	-0.028	0.002	0.666666666666667	-0.666666666666667
"196"	"control"	"Be_Lp_Dc"	3	2020	1.88871149902007	55.9944332495512	1	-0.16	0.693	1	0
"197"	"control"	"Be_Lp_Sp"	3	2020	0.165592168516993	13.7692766557732	0	0.156	0.012	0.666666666666667	-0.666666666666667
"198"	"control"	"Be_Lp_Pg"	3	2020	0.270699823375747	12.1800685396306	1	0.267	0.002	0.666666666666667	0.333333333333333
"199"	"control"	"Be_Lp_Ra"	3	2020	2.80244943895063	53.8663409854474	0	0.397	0.05	0.666666666666667	-0.666666666666667
"200"	"control"	"Be_Lp_Pm"	3	2020	0.361545156047272	12.5617631590411	1	-0.032	0.249	1	0
"201"	"control"	"Be_Lp_Ga"	3	2020	0.379557611257517	5.62126477334599	1	0.145	0.103	0.666666666666667	0.333333333333333
"202"	"control"	"Be_Pt_Am"	3	2020	0.121275581508723	22.150834654819	0	0.073	0.046	0.666666666666667	-0.666666666666667
"203"	"control"	"Be_Pt_Cj"	3	2020	0.05987018118153	17.1179063616441	0	0.02	0.007	0.666666666666667	-0.666666666666667
"204"	"control"	"Be_Pt_Cb"	3	2020	0.0549087372474682	15.8591015758853	0	0.023	0.022	0.333333333333333	-0.333333333333333
"205"	"control"	"Be_Pt_To"	3	2020	0.539231200270275	24.5753045763866	1	0.288	0.063	0.666666666666667	0.333333333333333
"206"	"control"	"Be_Pt_Dc"	3	2020	1.23951783831982	20.7521641816412	1	0.116	0.649	1	0
"207"	"control"	"Be_Pt_Sp"	3	2020	0.60097440431771	12.1646382154809	1	0.264	0.278	1	0
"208"	"control"	"Be_Pt_Pg"	3	2020	0.67314320192774	18.2331647840151	1	0.22	0.325	1	0
